00 1 2
010 2 3
011 3 3
100 17 3
1010 0 4
1011 4 4
1100 33 4
11010 18 5
11011 49 5
11100 65 5
111010 5 6
111011 81 6
1111000 19 7
1111001 34 7
1111010 97 7
1111011 113 7
11111000 6 8
11111001 50 8
11111010 129 8
11111011 145 8
111111000 20 9
111111001 66 9
111111010 161 9
111111011 177 9
1111111000 7 10
1111111001 35 10
1111111010 82 10
1111111011 193 10
1111111100 209 10
11111111010 98 11
11111111011 225 11
11111111100 240 11
111111111010 21 12
111111111011 51 12
111111111100 114 12
1111111111010 36 13
1111111111011 130 13
1111111111100 241 13
11111111111010 22 14
11111111111011 23 14
1111111111110000 67 16
1111111111110001 37 16
1111111111110010 83 16
1111111111110011 146 16
1111111111110100 8 16
1111111111110101 162 16
1111111111110110 178 16
1111111111110111 52 16
1111111111111000 131 16
1111111111111001 194 16
1111111111111010 53 16
1111111111111011 68 16
1111111111111100 99 16
1111111111111101 147 16
1111111111111110 242 16
