55
00 1 2
010 2 3
110 3 3
001 17 3
0101 0 4
1101 4 4
0011 33 4
01011 18 5
11011 49 5
00111 65 5
010111 5 6
110111 81 6
0001111 19 7
1001111 34 7
0101111 97 7
1101111 113 7
00011111 6 8
10011111 50 8
01011111 129 8
11011111 145 8
000111111 20 9
100111111 66 9
010111111 161 9
110111111 177 9
0001111111 7 10
1001111111 35 10
0101111111 82 10
1101111111 193 10
0011111111 209 10
01011111111 98 11
11011111111 225 11
00111111111 240 11
010111111111 21 12
110111111111 51 12
001111111111 114 12
0101111111111 36 13
1101111111111 130 13
0011111111111 241 13
01011111111111 22 14
11011111111111 23 14
0000111111111111 67 16
1000111111111111 37 16
0100111111111111 83 16
1100111111111111 146 16
0010111111111111 8 16
1010111111111111 162 16
0110111111111111 178 16
1110111111111111 52 16
0001111111111111 131 16
1001111111111111 194 16
0101111111111111 53 16
1101111111111111 68 16
0011111111111111 99 16
1011111111111111 147 16
0111111111111111 242 16
