00 1 2
01 2 2
100 3 3
1010 0 4
1011 4 4
1100 17 4
11010 5 5
11011 18 5
11100 33 5
111010 49 6
111011 65 6
1111000 6 7
1111001 19 7
1111010 81 7
1111011 97 7
11111000 7 8
11111001 34 8
11111010 113 8
111110110 20 9
111110111 50 9
111111000 129 9
111111001 145 9
111111010 161 9
1111110110 8 10
1111110111 35 10
1111111000 66 10
1111111001 177 10
1111111010 193 10
11111110110 21 11
11111110111 82 11
11111111000 209 11
11111111001 240 11
111111110100 36 12
111111110101 51 12
111111110110 98 12
111111110111 114 12
111111111000000 130 15
1111111110000010 9 16
1111111110000011 10 16
1111111110000100 22 16
1111111110000101 23 16
1111111110000110 24 16
1111111110000111 25 16
1111111110001000 26 16
1111111110001001 37 16
1111111110001010 38 16
1111111110001011 39 16
1111111110001100 40 16
1111111110001101 41 16
1111111110001110 42 16
1111111110001111 52 16
1111111110010000 53 16
1111111110010001 54 16
1111111110010010 55 16
1111111110010011 56 16
1111111110010100 57 16
1111111110010101 58 16
1111111110010110 67 16
1111111110010111 68 16
1111111110011000 69 16
1111111110011001 70 16
1111111110011010 71 16
1111111110011011 72 16
1111111110011100 73 16
1111111110011101 74 16
1111111110011110 83 16
1111111110011111 84 16
1111111110100000 85 16
1111111110100001 86 16
1111111110100010 87 16
1111111110100011 88 16
1111111110100100 89 16
1111111110100101 90 16
1111111110100110 99 16
1111111110100111 100 16
1111111110101000 101 16
1111111110101001 102 16
1111111110101010 103 16
1111111110101011 104 16
1111111110101100 105 16
1111111110101101 106 16
1111111110101110 115 16
1111111110101111 116 16
1111111110110000 117 16
1111111110110001 118 16
1111111110110010 119 16
1111111110110011 120 16
1111111110110100 121 16
1111111110110101 122 16
1111111110110110 131 16
1111111110110111 132 16
1111111110111000 133 16
1111111110111001 134 16
1111111110111010 135 16
1111111110111011 136 16
1111111110111100 137 16
1111111110111101 138 16
1111111110111110 146 16
1111111110111111 147 16
1111111111000000 148 16
1111111111000001 149 16
1111111111000010 150 16
1111111111000011 151 16
1111111111000100 152 16
1111111111000101 153 16
1111111111000110 154 16
1111111111000111 162 16
1111111111001000 163 16
1111111111001001 164 16
1111111111001010 165 16
1111111111001011 166 16
1111111111001100 167 16
1111111111001101 168 16
1111111111001110 169 16
1111111111001111 170 16
1111111111010000 178 16
1111111111010001 179 16
1111111111010010 180 16
1111111111010011 181 16
1111111111010100 182 16
1111111111010101 183 16
1111111111010110 184 16
1111111111010111 185 16
1111111111011000 186 16
1111111111011001 194 16
1111111111011010 195 16
1111111111011011 196 16
1111111111011100 197 16
1111111111011101 198 16
1111111111011110 199 16
1111111111011111 200 16
1111111111100000 201 16
1111111111100001 202 16
1111111111100010 210 16
1111111111100011 211 16
1111111111100100 212 16
1111111111100101 213 16
1111111111100110 214 16
1111111111100111 215 16
1111111111101000 216 16
1111111111101001 217 16
1111111111101010 218 16
1111111111101011 225 16
1111111111101100 226 16
1111111111101101 227 16
1111111111101110 228 16
1111111111101111 229 16
1111111111110000 230 16
1111111111110001 231 16
1111111111110010 232 16
1111111111110011 233 16
1111111111110100 234 16
1111111111110101 241 16
1111111111110110 242 16
1111111111110111 243 16
1111111111111000 244 16
1111111111111001 245 16
1111111111111010 246 16
1111111111111011 247 16
1111111111111100 248 16
1111111111111101 249 16
1111111111111110 250 16
