00 1 2
01 2 2
100 17 3
1010 0 4
1011 33 4
11000 3 5
11001 18 5
11010 49 5
11011 65 5
111000 4 6
111001 5 6
111010 34 6
111011 81 6
111100 97 6
1111010 6 7
1111011 113 7
11111000 19 8
11111001 50 8
11111010 129 8
111110110 7 9
111110111 66 9
111111000 145 9
111111001 161 9
111111010 177 9
111111011 193 9
1111111000 20 10
1111111001 82 10
1111111010 209 10
1111111011 225 10
1111111100 240 10
11111111010 21 11
11111111011 35 11
11111111100 241 11
111111111010 8 12
111111111011 51 12
111111111100 98 12
1111111111010 22 13
1111111111011 36 13
1111111111100 114 13
111111111110100 52 15
111111111110101 67 15
1111111111101100 130 16
1111111111101101 23 16
1111111111101110 83 16
1111111111101111 146 16
1111111111110000 37 16
1111111111110001 99 16
1111111111110010 162 16
1111111111110011 68 16
1111111111110100 115 16
1111111111110101 24 16
1111111111110110 38 16
1111111111110111 39 16
1111111111111000 53 16
1111111111111001 84 16
1111111111111010 178 16
1111111111111011 40 16
1111111111111100 131 16
1111111111111101 194 16
1111111111111110 69 16
