60
00 1 2
10 2 2
001 17 3
0101 0 4
1101 33 4
00011 3 5
10011 18 5
01011 49 5
11011 65 5
000111 4 6
100111 5 6
010111 34 6
110111 81 6
001111 97 6
0101111 6 7
1101111 113 7
00011111 19 8
10011111 50 8
01011111 129 8
011011111 7 9
111011111 66 9
000111111 145 9
100111111 161 9
010111111 177 9
110111111 193 9
0001111111 20 10
1001111111 82 10
0101111111 209 10
1101111111 225 10
0011111111 240 10
01011111111 21 11
11011111111 35 11
00111111111 241 11
010111111111 8 12
110111111111 51 12
001111111111 98 12
0101111111111 22 13
1101111111111 36 13
0011111111111 114 13
001011111111111 52 15
101011111111111 67 15
0011011111111111 130 16
1011011111111111 23 16
0111011111111111 83 16
1111011111111111 146 16
0000111111111111 37 16
1000111111111111 99 16
0100111111111111 162 16
1100111111111111 68 16
0010111111111111 115 16
1010111111111111 24 16
0110111111111111 38 16
1110111111111111 39 16
0001111111111111 53 16
1001111111111111 84 16
0101111111111111 178 16
1101111111111111 40 16
0011111111111111 131 16
1011111111111111 194 16
0111111111111111 69 16
