00 1 2
010 0 3
011 2 3
1000 3 4
1001 4 4
1010 17 4
10110 5 5
10111 18 5
11000 33 5
11001 49 5
11010 81 5
110110 19 6
110111 50 6
111000 65 6
111001 97 6
111010 113 6
1110110 6 7
1110111 34 7
1111000 129 7
1111001 145 7
1111010 161 7
11110110 20 8
11110111 35 8
11111000 66 8
11111001 82 8
11111010 177 8
11111011 193 8
11111100 209 8
111111010 51 9
111111011 114 9
111111100 130 9
1111111010 21 10
1111111011 98 10
1111111100 240 10
11111111010 22 11
11111111011 83 11
11111111100 225 11
11111111101 241 11
111111111100 36 12
111111111101 67 12
111111111110 115 12
