41
00 1 2
010 0 3
110 2 3
0001 3 4
1001 4 4
0101 17 4
01101 5 5
11101 18 5
00011 33 5
10011 49 5
01011 81 5
011011 19 6
111011 50 6
000111 65 6
100111 97 6
010111 113 6
0110111 6 7
1110111 34 7
0001111 129 7
1001111 145 7
0101111 161 7
01101111 20 8
11101111 35 8
00011111 66 8
10011111 82 8
01011111 177 8
11011111 193 8
00111111 209 8
010111111 51 9
110111111 114 9
001111111 130 9
0101111111 21 10
1101111111 98 10
0011111111 240 10
01011111111 22 11
11011111111 83 11
00111111111 225 11
10111111111 241 11
001111111111 36 12
101111111111 67 12
011111111111 115 12
