00 1 2
01 2 2
100 17 3
1010 0 4
1011 3 4
1100 33 4
11010 4 5
11011 18 5
11100 49 5
111010 5 6
111011 65 6
1111000 19 7
1111001 34 7
1111010 81 7
11110110 6 8
11110111 50 8
11111000 97 8
11111001 113 8
11111010 129 8
11111011 145 8
111111000 20 9
111111001 66 9
111111010 161 9
1111110110 35 10
1111110111 82 10
1111111000 98 10
1111111001 177 10
1111111010 193 10
1111111011 209 10
11111111000 7 11
11111111001 51 11
11111111010 240 11
111111110110 21 12
111111110111 146 12
111111111000 162 12
111111111001 178 12
111111111010 225 12
1111111110110 22 13
1111111110111 36 13
1111111111000 67 13
1111111111001 114 13
1111111111010 130 13
1111111111011 147 13
1111111111100 241 13
11111111111010 37 14
11111111111011 83 14
11111111111100 115 14
11111111111101 194 14
11111111111110 226 14
