49
00 1 2
10 2 2
001 17 3
0101 0 4
1101 3 4
0011 33 4
01011 4 5
11011 18 5
00111 49 5
010111 5 6
110111 65 6
0001111 19 7
1001111 34 7
0101111 81 7
01101111 6 8
11101111 50 8
00011111 97 8
10011111 113 8
01011111 129 8
11011111 145 8
000111111 20 9
100111111 66 9
010111111 161 9
0110111111 35 10
1110111111 82 10
0001111111 98 10
1001111111 177 10
0101111111 193 10
1101111111 209 10
00011111111 7 11
10011111111 51 11
01011111111 240 11
011011111111 21 12
111011111111 146 12
000111111111 162 12
100111111111 178 12
010111111111 225 12
0110111111111 22 13
1110111111111 36 13
0001111111111 67 13
1001111111111 114 13
0101111111111 130 13
1101111111111 147 13
0011111111111 241 13
01011111111111 37 14
11011111111111 83 14
00111111111111 115 14
10111111111111 194 14
01111111111111 226 14
