00 1 2
010 0 3
011 2 3
100 17 3
1010 3 4
1011 33 4
11000 4 5
11001 18 5
11010 49 5
11011 65 5
11100 81 5
111010 97 6
1110110 5 7
1110111 19 7
1111000 34 7
1111001 113 7
1111010 129 7
1111011 145 7
11111000 20 8
11111001 50 8
11111010 161 8
11111011 177 8
11111100 193 8
111111010 209 9
111111011 225 9
111111100 240 9
1111111010 21 10
1111111011 35 10
1111111100 66 10
1111111101 241 10
11111111100 6 11
11111111101 51 11
11111111110 82 11
1111111111100 98 13
11111111111010 36 14
11111111111011 83 14
11111111111100 114 14
11111111111101 130 14
11111111111110 162 14
