39
00 1 2
010 0 3
110 2 3
001 17 3
0101 3 4
1101 33 4
00011 4 5
10011 18 5
01011 49 5
11011 65 5
00111 81 5
010111 97 6
0110111 5 7
1110111 19 7
0001111 34 7
1001111 113 7
0101111 129 7
1101111 145 7
00011111 20 8
10011111 50 8
01011111 161 8
11011111 177 8
00111111 193 8
010111111 209 9
110111111 225 9
001111111 240 9
0101111111 21 10
1101111111 35 10
0011111111 66 10
1011111111 241 10
00111111111 6 11
10111111111 51 11
01111111111 82 11
0011111111111 98 13
01011111111111 36 14
11011111111111 83 14
00111111111111 114 14
10111111111111 130 14
01111111111111 162 14
